timeout energy time overhead #transitions
0 0.2606929000 1082.580000 0.206000 83
1 0.2558997100 1082.580000 0.191000 77
2 0.2490044400 1082.580000 0.171000 69
3 0.2304870500 1082.580000 0.121000 49
4 0.2022921600 1082.580000 0.045000 18
5 0.2025397500 1082.580000 0.045000 18
6 0.2027873400 1082.580000 0.045000 18
7 0.2030349300 1082.580000 0.045000 18
8 0.2032825200 1082.580000 0.045000 18
9 0.2035301100 1082.580000 0.045000 18
10 0.2037777000 1082.580000 0.045000 18
11 0.2040252900 1082.580000 0.045000 18
12 0.2042728800 1082.580000 0.045000 18
13 0.2045204700 1082.580000 0.045000 18
14 0.2047680600 1082.580000 0.045000 18
15 0.2050156500 1082.580000 0.045000 18
16 0.2052632400 1082.580000 0.045000 18
17 0.2055108300 1082.580000 0.045000 18
18 0.2057584200 1082.580000 0.045000 18
19 0.2060060100 1082.580000 0.045000 18
20 0.2062536000 1082.580000 0.045000 18
21 0.2065011900 1082.580000 0.045000 18
22 0.2067487800 1082.580000 0.045000 18
23 0.2069963700 1082.580000 0.045000 18
24 0.2072439600 1082.580000 0.045000 18
25 0.2074915500 1082.580000 0.045000 18
26 0.2077391400 1082.580000 0.045000 18
27 0.2079867300 1082.580000 0.045000 18
28 0.2082343200 1082.580000 0.045000 18
29 0.2084819100 1082.580000 0.045000 18
30 0.2087295000 1082.580000 0.045000 18
31 0.2089770900 1082.580000 0.045000 18
32 0.2092246800 1082.580000 0.045000 18
33 0.2094722700 1082.580000 0.045000 18
34 0.2097198600 1082.580000 0.045000 18
35 0.2099674500 1082.580000 0.045000 18
36 0.2102150400 1082.580000 0.045000 18
37 0.2104626300 1082.580000 0.045000 18
38 0.2107102200 1082.580000 0.045000 18
39 0.2109578100 1082.580000 0.045000 18
40 0.2112054000 1082.580000 0.045000 18
41 0.2114529900 1082.580000 0.045000 18
42 0.2117005800 1082.580000 0.045000 18
43 0.2119481700 1082.580000 0.045000 18
44 0.2121957600 1082.580000 0.045000 18
45 0.2124433500 1082.580000 0.045000 18
46 0.2126909400 1082.580000 0.045000 18
47 0.2129385300 1082.580000 0.045000 18
48 0.2131861200 1082.580000 0.045000 18
49 0.2134337100 1082.580000 0.045000 18
50 0.2136813000 1082.580000 0.045000 18
51 0.2139288900 1082.580000 0.045000 18
52 0.2141764800 1082.580000 0.045000 18
53 0.2144240700 1082.580000 0.045000 18
54 0.2146716600 1082.580000 0.045000 18
55 0.2149192500 1082.580000 0.045000 18
56 0.2151668400 1082.580000 0.045000 18
57 0.2154144300 1082.580000 0.045000 18
58 0.2156620200 1082.580000 0.045000 18
59 0.2159096100 1082.580000 0.045000 18
60 0.2161572000 1082.580000 0.045000 18
61 0.2164047900 1082.580000 0.045000 18
62 0.2166523800 1082.580000 0.045000 18
63 0.2168999700 1082.580000 0.045000 18
64 0.2171475600 1082.580000 0.045000 18
65 0.2173951500 1082.580000 0.045000 18
66 0.2176427400 1082.580000 0.045000 18
67 0.2178903300 1082.580000 0.045000 18
68 0.2181379200 1082.580000 0.045000 18
69 0.2183855100 1082.580000 0.045000 18
70 0.2186331000 1082.580000 0.045000 18
71 0.2188806900 1082.580000 0.045000 18
72 0.2191282800 1082.580000 0.045000 18
73 0.2193758700 1082.580000 0.045000 18
74 0.2196234600 1082.580000 0.045000 18
75 0.2198710500 1082.580000 0.045000 18
76 0.2201186400 1082.580000 0.045000 18
77 0.2203662300 1082.580000 0.045000 18
78 0.2206138200 1082.580000 0.045000 18
79 0.2208614100 1082.580000 0.045000 18
80 0.2211090000 1082.580000 0.045000 18
81 0.2213565900 1082.580000 0.045000 18
82 0.2216041800 1082.580000 0.045000 18
83 0.2218517700 1082.580000 0.045000 18
84 0.2220993600 1082.580000 0.045000 18
85 0.2223469500 1082.580000 0.045000 18
86 0.2225945400 1082.580000 0.045000 18
87 0.2228421300 1082.580000 0.045000 18
88 0.2230897200 1082.580000 0.045000 18
89 0.2233373100 1082.580000 0.045000 18
90 0.2235849000 1082.580000 0.045000 18
91 0.2238324900 1082.580000 0.045000 18
92 0.2240800800 1082.580000 0.045000 18
93 0.2243276700 1082.580000 0.045000 18
94 0.2245752600 1082.580000 0.045000 18
95 0.2248228500 1082.580000 0.045000 18
96 0.2250704400 1082.580000 0.045000 18
97 0.2253180300 1082.580000 0.045000 18
98 0.2255656200 1082.580000 0.045000 18
99 0.2258132100 1082.580000 0.045000 18
100 0.2260608000 1082.580000 0.045000 18
